District,P or V,Ethnicity code
Sunsari,P,CHT
Sunsari,P,CHT
Sunsari,P,DLT
Bhaktapur,P,AVS
Bardiya,P,DLT
Kathmandu,P,MDS
Sunsari,P,AVS
Lamjung,P,AVS
Siraha,P,MDS
Morang,P,MDS
Rolpa,P,BMN
Rolpa,P,BMN
Baitadi,P,AVS
Baitadi,P,AVS
Surkhet,P,JNJT
Surkhet,P,JNJT
Surkhet,P,JNJT
Bhaktapur,P,AVS
Bhaktapur,P,AVS
Kanchanpur,P,DLT
Rupandehi,P,REG
Dailekh,P,CHT
Sunsari,P,MSLM
Lalitpur,P,CHT
Kailali,P,OTR
Kailali,P,BMN
Kailali,P,BMN
Kailali,P,MDS
Taplejung,P,TBT
Morang,P,DLT
Makwanpur,P,BMN
Makwanpur,P,AVS
Makwanpur,P,AVS
Makwanpur,P,AVS
Makwanpur,P,BMN
Kanchanpur,P,DLT
Palpa,P,REG
Dang,P,MDS
Ramechhap,P,AVS
Kanchanpur,P,AVS
Nuwakot,P,AVS
Dhanusha,P,MDS
India,P,OTR
Kaski,P,DLT
Kavrepalanchok,P,BMN
Manang,P,AVS
Siraha,P,BMN
parsa,P,MSLM
India,P,BMN
Dhankuta,P,AVS
Parsa,P,MDS
Parsa,P,MDS
Siraha,P,MDS
Jhapa,P,AVS
Jhapa,P,DLT
Kanchanpur,P,DLT
Khotang,P,AVS
Kathmandu,P,AVS
Bhaktapur,P,AVS
Rolpa,P,MDS
Dang,P,MDS
Palpa,P,BMN
Bardiya,P,AVS
Saptari,P,MDS
Saptari,V,MDS
Salyan,P,OTR
Nuwakot,P,DLT
Nuwakot,P,JNJT
Bara,P,AVS
Morang,P,AVS
Rautahat,P,MDS
Jhapa,P,AVS
Chitwan,P,BMN
Udayapur,P,JNJT
Siraha,P,BMN
Makwanpur,P,JNJT
Parsa,P,MDS
Parsa,P,MDS
Parsa,P,MDS
Lalitpur,P,OTR
Lalitpur,P,JNJT
Rautahat,P,MDS
Rautahat,V,OTR
Dang,P,AVS
Khotang,P,BMN
Sindhuli,P,DLT
Parsa,P,DLT
Sunsari,P,AVS
Gulmi,P,DLT
Dadeldhura,P,BMN
Doti,P,REG
Rupandehi,P,AVS
Kailali,P,BMN
Bhaktapur,P,OTR
Taplejung,P,BMN
Parasi,P,BMN
Dhanusha,P,BMN
Gorkha,P,AVS
Tanahu,P,AVS
Siraha,P,AVS
Kaski,P,DLT
Udayapur,P,DLT
Kailali,P,AVS
Dang,P,AVS
Dhankuta,P,DLT
Mustang,P,BMN
Mustang,P,BMN
Dang,P,AVS
Solukhumbu,P,TBT
Solukhumbu,P,TBT
Solukhumbu,V,AVS
Solukhumbu,V,TBT
Siraha,P,MDS
Morang,P,MDS
Kailali,P,DLT
Sarlahi,P,MDS
Morang,P,AVS
Siraha,P,MDS
Gorkha,P,BMN
Lalitpur,P,AVS
Dhankuta,P,AVS
Myagdi,P,OTR
Bardiya,P,JNJT
Syangja,P,JNJT
Rupandehi,P,MDS
Sunsari,P,MSLM
Rolpa,P,DLT
Rupandehi,P,JNJT
Sankhuwasabha,P,TBT
Kailali,P,AVS
Siraha,P,AVS
Kapilvastu,P,BMN
Bara,P,MDS
Parasi,P,MDS
Rupandehi,P,AVS
Humla,P,BMN
Humla,P,BMN
Kailali,P,AVS
Achham,P,OTR
Achham,P,CHT
Bajhang,P,DLT
Jumla,P,DLT
Jumla,P,DLT
Jumla,P,CHT
Rupandehi,P,CHT
Kailali,P,CHT
Bardiya,P,AVS
Dang,P,DLT
Dang,P,OTR
Bara,P,MDS
Mahottari,P,MDS
Udayapur,P,AVS
Parbat,P,BMN
Okhaldhunga,P,AVS
Lamjung,P,CHT
Rupandehi,P,DLT
Rautahat,P,MDS
Udayapur,P,AVS
Humla,P,CHT
Kailali,P,AVS
Sunsari,P,MDS
Bhaktapur,P,MDS
Bhojpur,P,JNJT
India,P,MSLM
Lalitpur,P,JNJT
Surkhet,P,DLT
Surkhet,P,DLT
Surkhet,P,MDS
Surkhet,p,MDS
Surkhet,P,BMN
Surkhet,P,CHT
Surkhet,P,DLT
Surkhet,P,JNJT
Surkhet,P,MDS
Dang,P,JNJT
Dang,P,OTR
Dang,P,JNJT
Ramechhap,P,AVS
Bajura,P,OTR
Dhankuta,P,CHT
Kaski,P,AVS
India,P,MSLM
Dang,P,DLT
Kavrepalanchok,P,DLT
Kavrepalanchok,P,AVS
Parasi,P,AVS
Sunsari,P,KAVS
Ramechhap,P,AVS
Dadeldhura,P,AVS
Sankhuwasabha,P,AVS
Bhojpur,P,AVS
Siraha,P,AVS
Sindhupalchok,P,AVS
Dhanusha,P,MDS
Salyan,P,OTR
Parsa,P,MSLM
Dang,P,MSLM
Kailali,P,REG
Kailali,P,BMN
Lalitpur,P,BMN
Parasi,P,CHT
Rupandehi,P,MDS
Kathmandu,P,BMN
Kathmandu,P,BMN
Bajhang,P,BMN
Lamjung,P,AVS
Dang,P,KAVS
Udayapur,P,DLT
Sarlahi,P,MDS
Sarlahi,P,MDS
Sunsari,P,AVS
Kailali,P,AVS
Rupandehi,P,CHT
Bhaktapur,P,MDS
Lamjung,P,OTR
Sindhupalchok,P,REG
Palpa,P,DLT
Udayapur,P,JNJT
Sindhuli,P,AVS
Sindhuli,P,JNJT
Sindhuli,P,JNJT
Bhojpur,P,AVS
Sarlahi,P,MDS
Tanahu,P,DLT
Nuwakot,P,DLT
Dhanusha,P,MDS
Tanahu,P,BMN
Tanahu,P,AVS
Dang,P,OTR
Dang,P,JNJT
Dang,P,DLT
Sindhupalchok,P,DLT
Solukhumbu,P,AVS
Rupandehi,P,DLT
Parsa,P,MDS
Parsa,P,MDS
Sarlahi,P,CHT
Morang,P,AVS
Dang,P,AVS
Udayapur,P,AVS
Rukum West,P,BMN
Kalikot,P,REG
India,P,OTR
Nawalpur,P,JNJT
Nawalpur,P,MDS
Nawalpur,P,KAVS
India,P,OTR
Kathmandu,P,REG
Kanchanpur,P,MDS
Sunsari,P,CHT
Rukum West,P,DLT
Nuwakot,P,BMN
Jhapa,P,CHT
Udayapur,P,AVS
Ramechhap,P,OTR
Siraha,P,MDS
Palpa,P,JNJT
Terhathum,P,DLT
Kathmandu,P,BMN
Dhankuta,P,DLT
Siraha,P,MDS
Dhanusha,P,AVS
Terhathum,P,AVS
Kathmandu,P,AVS
Myagdi,P,DLT
Myagdi,P,OTR
Myagdi,P,OTR
Dailekh,P,OTR
Dhanusha,P,MDS
Rukum East,P,OTR
Gulmi,P,DLT
Siraha,P,MDS
Parsa,P,MSLM
Udayapur,P,DLT
Rupandehi,P,JNJT
Chitwan,P,BMN
Nawalpur,P,MDS
Nawalpur,P,MDS
Kapilvastu,P,CHT
Gulmi,P,DLT
Mahottari,P,MDS
Mahottari,P,MDS
Terhathum,P,MDS
Dhanusha,P,MDS
Bhaktapur,P,OTR
Terhathum,P,DLT
Parasi,P,MDS
Parasi,V,AVS
Parbat,P,BMN
Terhathum,P,CHT
Myagdi,p,MDS
Morang,P,MDS
Bhojpur,P,JNJT
Ramechhap,P,AVS
Ramechhap,P,AVS
Bara,P,MDS
Solukhumbu,P,DLT
Parsa,P,MSLM
Dang,P,MDS
Parsa,P,MDS
Parsa,P,MDS
Humla,P,AVS
Terhathum,P,AVS
Jhapa,P,BMN
Rupandehi,P,AVS
Morang,P,BMN
Ramechhap,P,DLT
Saptari,P,MDS
"Sitamadhi, India",P,MDS
Dhanusha,P,BMN
Jhapa,P,CHT
Sindhupalchok,P,AVS
Bardiya,P,JNJT
Bara,P,MDS
Bara,V,MDS
Khotang,P,OTR
Morang,P,BMN
Rupandehi,P,MDS
Rupandehi,P,MDS
Bardiya,P,AVS
Parsa,P,MDS
Dailekh,P,DLT
Dailekh,V,CHT
Jajarkot,P,CHT
Dailekh,V,CHT
Rautahat,P,MDS
Nuwakot,P,AVS
Sarlahi,P,JNJT
Kaski,P,BMN
Bardiya,P,JNJT
Mahottari,P,AVS
Sankhuwasabha,P,AVS
Khotang,P,BMN
Surkhet,P,DLT
Surkhet,P,AVS
Udayapur,P,AVS
Bara,P,BMN
Tanahu,P,DLT
Dhanusha,P,MDS
Rupandehi,P,BMN
Rolpa,P,BMN
Tanahu,P,DLT
Kirtipur,P,AVS
Dhanusha,P,MDS
Lalitpur,P,AVS
Saptari,P,MDS
Darchula,P,AVS
Khotang,P,AVS
Bara,P,MSLM
Arghakhanchi,P,MDS
Palpa,P,DLT
Myagdi,P,DLT
Baitadi,P,CHT
Saptari,P,MDS
Bardiya,P,DLT
Rupandehi,P,JNJT
Gulmi,P,BMN
Darchula,P,AVS
Darchula,V,AVS
Kapilvastu,P,CHT
Kapilvastu,P,JNJT
Kapilvastu,P,CHT
Kapilvastu,P,BMN
Kapilvastu,P,CHT
Jumla,P,BMN
Jumla,P,BMN
Sankhuwasabha,P,DLT
Mugu,P,JNJT
Kailali,P,BMN
Baglung,P,BMN
Dolakha,P,CHT
Ramechhap,P,CHT
Jajarkot,P,JNJT
India,P,BMN
Darchula,P,KCHT
Dailekh,P,BMN
Pyuthan,P,DLT
Rupandehi,P,OTR
Jumla,P,BMN
Jhapa,P,AVS
Chitwan,P,OTR
Surkhet,P,DLT
Surkhet,V,DLT
Palpa,P,DLT
Terhathum,P,DLT
Palpa,P,DLT
Bara,P,AVS
Bara,V,AVS
Lalitpur,P,DLT
Makwanpur,P,MDS
Baglung,P,AVS
Jhapa,P,MDS
Ilam,P,CHT
Ilam,P,AVS
Kavrepalanchok,P,AVS
Mustang,P,DLT
Kathmandu,P,AVS
Sindhupalchok,P,TBT
Sarlahi,P,AVS
Bara,P,MDS
Bara,P,MDS
Bara,P,MDS
Mahottari,P,MDS
Nuwakot,P,CHT
Okhaldhunga,P,KAVS
Okhaldhunga,P,KAVS
Okhaldhunga,P,MDS
Rukum West,P,BMN
Rupandehi,P,OTR
Rupandehi,V,DLT
Myagdi,P,DLT
Kailali,P,AVS
Dhankuta,P,BMN
Dang,P,DLT
Dang,P,AVS
Makwanpur,P,OTR
Palpa,P,BMN
Bajhang,P,BMN
Bara,P,AVS
Taplejung,P,AVS
Udayapur,P,DLT
Udayapur,P,CHT
Doti,P,CHT
Saptari,P,MDS
Jajarkot,P,DLT
Khotang,P,JNJT
Morang,P,MDS
Ramechhap,P,BMN
Parsa,P,CHT
Bhaktapur,P,CHT
Saptari,P,MDS
Dhading,P,DLT
Kaski,P,BMN
Mustang,P,AVS
Banke,P,MSLM
Sindhupalchok,P,DLT
Kathmandu,P,CHT
Kathmandu,P,CHT
Kathmandu,P,CHT
Rautahat,P,AVS
Kanchanpur,P,MSLM
Morang,P,MSLM
Sunsari,P,AVS
Salyan,P,BMN
Salyan,P,CHT
Kailali,P,BMN
Bhojpur,P,AVS
Dhankuta,P,AVS
Rupandehi,P,BMN
Dolakha,P,DLT
Bhojpur,P,CHT
Bardiya,P,OTR
Nuwakot,P,AVS
Gulmi,P,AVS
Sindhupalchok,P,KAVS
Bardiya,P,DLT
Banke,P,AVS
Kapilvastu,P,DLT
Rupandehi,P,DLT
Rupandehi,P,DLT
Siraha,P,MDS
Dang,P,AVS
Morang,P,CHT
Morang,V,BMN
Kanchanpur,P,DLT
Jhapa,P,MDS
Jhapa,P,AVS
Kanchanpur,P,JNJT
Terhathum,P,DLT
Dang,P,BMN
Palpa,P,OTR
Kapilvastu,P,BMN
Siraha,P,MDS
Rupandehi,P,DLT
Sunsari,P,CHT
Banke,P,BMN
Nawalpur,P,DLT
Humla,P,DLT
Dang,P,DLT
Morang,P,AVS
Dhanusha,P,MDS
Gulmi,P,DLT
Palpa,P,DLT
Dhanusha,P,MDS
Dhanusha,P,MSLM
Rolpa,P,CHT
Rupandehi,P,DLT
Rupandehi,P,CHT
Gulmi,P,DLT
Sankhuwasabha,P,TBT
Siraha,P,MDS
Dang,P,CHT
Bhaktapur,P,CHT
Myagdi,P,BMN
Chitwan,P,CHT
Nawalpur,P,MSLM
Kapilvastu,P,DLT
Kapilvastu,P,AVS
Jumla,P,MDS
Humla,P,DLT
Kapilvastu,P,MDS
Kapilvastu,P,MDS
Kapilvastu,P,MDS
Nuwakot,P,AVS
Nuwakot,P,AVS
Nuwakot,P,AVS
Kailali,P,REG
Mahottari,P,MDS
Myagdi,P,BMN
Lalitpur,P,AVS
Ramechhap,P,BMN
Ramechhap,V,BMN
Okhaldhunga,P,DLT
Kalikot,P,MDS
Lamjung,P,AVS
Bara,P,MSLM
Panchthar,P,OTR
Siraha,P,MDS
Kathmandu,P,BMN
Sarlahi,P,MDS
India,P,MDS
India,P,MDS
Salyan,P,JNJT
Salyan,P,JNJT
Baitadi,P,AVS
Baitadi,P,AVS
Rupandehi,P,DLT
Dang,P,BMN
Salyan,P,BMN
Salyan,P,CHT
Jhapa,P,AVS
Kaski,P,REG
Kaski,P,BMN
Kaski,P,BMN
Kaski,P,BMN
Kaski,P,REG
Kaski,P,BMN
Kaski,P,BMN
Kaski,P,DLT
Lamjung,P,AVS
Panchthar,P,AVS
Jhapa,P,OTR
Parsa,P,AVS
Morang,P,MDS
Morang,P,MDS
Morang,P,MDS
Taplejung,P,AVS
Kailali,P,OTR
Parsa,P,MDS
Ramechhap,P,CHT
Gorkha,P,JNJT
Lalitpur,P,DLT
Jhapa,P,BMN
Sarlahi,P,MDS
Parsa,P,MSLM
Morang,P,DLT
Baitadi,P,DLT
Rupandehi,P,MSLM
Mahottari,P,DLT
Mahottari,P,JNJT
Chitwan,P,AVS
Udayapur,P,JNJT
Nuwakot,P,DLT
Dang,P,BMN
Dailekh,P,BMN
Dhanusha,P,AVS
Salyan,P,BMN
Kapilvastu,P,BMN
Parsa,P,MDS
Sindhupalchok,P,CHT
Morang,P,DLT
Dhading,P,AVS
Salyan,P,JNJT
Lalitpur,P,AVS
Bhaktapur,P,CHT
Kathmandu,P,AVS
Rupandehi,P,CHT
Tanahu,P,CHT
Dang,P,AVS
Kapilvastu,P,OTR
Dhading,P,BMN
Bardiya,P,AVS
India,P,MSLM
Lalitpur,P,DLT
Lalitpur,P,DLT
Bhaktapur,P,AVS
Mahottari,P,AVS
Dang,P,DLT
Rupandehi,P,MDS
Okhaldhunga,P,AVS
Dolpa,P,JNJT
Udayapur,P,DLT
Udayapur,P,DLT
Kailali,P,CHT
Kailali,P,AVS
Dolpa,P,JNJT
Sunsari,P,MSLM
Nuwakot,P,CHT
Gulmi,P,DLT
Kanchanpur,P,JNJT
Kanchanpur,P,MDS
Kanchanpur,P,MDS
Rupandehi,P,CHT
Terhathum,P,AVS
Kanchanpur,P,CHT
Bardiya,P,BMN
Bhaktapur,P,MSLM
Terhathum,P,AVS
Morang,P,BMN
Morang,P,AVS
Bhojpur,P,TBT
Udayapur,P,AVS
Kailali,P,AVS
Palpa,P,DLT
Kavrepalanchok,P,CHT
Rupandehi,P,CHT
Siraha,P,DLT
Solukhumbu,P,TBT
Udayapur,P,DLT
Sindhupalchok,P,BMN
Sunsari,P,MSLM
Dang,P,BMN
Sankhuwasabha,P,DLT
Morang,P,DLT
India,P,MDS
Khotang,P,AVS
Syangja,P,CHT
"India, Baliya",P,MDS
Dhankuta,P,AVS
Rupandehi,P,AVS
Udayapur,P,REG
Sindhuli,P,DLT
Dailekh,P,BMN
Panchthar,P,DLT
Sunsari,P,DLT
Solukhumbu,P,AVS
Nawalpur,P,MDs
Jhapa,P,BMN
Saptari,P,AVS
Morang,P,BMN
Morang,P,AVS
Rupandehi,P,BMN
Rupandehi,P,DLT
Dang,P,BMN
Baglung,P,DLT
Morang,P,BMN
Morang,P,AVS
Jumla,P,DLT
Sarlahi,P,MDS
Dang,P,AVS
Siraha,P,MDS
Rautahat,P,MSLM
Banke,P,KG
Baglung,P,DLT
Baglung,P,DLT
Siraha,P,MDS
Sunsari,P,MDS
Terhathum,P,MDS
Kanchanpur,P,MDS
Humla,P,DLT
Rupandehi,P,BMN
Gorkha,P,BMN
Sarlahi,P,MDS
Bhaktapur,P,AVS
Bhojpur,P,CHT
Saptari,P,MDS
Siraha,P,MDS
Rupandehi,P,AVS
Ramechhap,P,AVS
Rautahat,P,MSLM
Dhankuta,P,AVS
Sankhuwasabha,P,AVS
Kailali,P,AVS
Kailali,P,AVS
Kailali,P,CHT
Kailali,P,AVS
Darchula,P,CHT
Tanahu,P,CHT
Ramechhap,P,CHT
Kalikot,P,CHT
Parsa,P,CHT
sarlahi,P,MSLM
Bhaktapur,P,BMN
Palpa,P,DLT
Terhathum,P,DLT
Sarlahi,P,MDS
Parasi,P,AVS
Darchula,P,BMN
Sindhupalchok,P,BMN
Nawalpur,P,DLT
Sankhuwasabha,P,AVS
Dhanusha,P,MDS
Pyuthan,P,DLT
Pyuthan,P,REG
Rupandehi,P,MSLM
Siraha,P,MDS
Dhading,P,AVS
Rupandehi,P,DLT
Sarlahi,P,MDS
Sindhupalchok,P,AVS
Kathmandu,P,AVS
Kathmandu,P,AVS
Dang,P,BMN
Saptari,P,MDS
Dang,P,DLT
Jhapa,P,KAVS
sarlahi,P,MDS
Hetauda,P,BMN
Nuwakot,P,AVS
Rupandehi,P,CHT
Rupandehi,P,CHT
Jhapa,P,MSLM
Nuwakot,P,AVS
Nuwakot,P,AVS
Jhapa,P,DLT
Sunsari,P,MDS
Dolakha,P,CHT
Dang,P,DLT
Siraha,P,MDS
Udayapur,P,AVS
sarlahi,P,BMN
Dang,P,CHT
Kanchanpur,P,DLT
Dang,P,MDS
Lalitpur,P,BMN
Dang,P,CHT
Siraha,P,REG
Dhading,P,MDS
Dolakha,P,AVS
Rukum West,P,REG
Bardiya,P,DLT
Bardiya,P,DLT
Bardiya,P,DLT
Bardiya,P,DLT
Morang,P,MDS
Siraha,P,MDS
Dang,P,MSLM
Dang,P,MSLM
Dang,P,MSLM
Gorkha,P,KAVS
Nawalpur,P,DLT
Nuwakot,P,AVS
Bhojpur,P,AVS
Mahottari,P,AVS
Baglung,P,CHT
Nawalpur,P,OTR
Saptari,P,OTR
Sarlahi,P,MDS
Saptari,P,MDS
Parsa,P,MDS
Kapilvastu,P,AVS
Morang,P,AVS
Mustang,P,DLT
Parsa,P,MSLM
Terhathum,P,AVS
Udayapur,P,AVS
Rupandehi,P,DLT
Humla,P,JNJT
Lalitpur,P,BMN
Rupandehi,P,DLT
Jhapa,P,AVS
Gulmi,P,BMN
Saptari,P,MDS
Jhapa,P,CHT
Dang,P,DLT
Sindhuli,P,MDS
Kanchanpur,P,DLT