Caste and Tribal groups,Boad ethnic category,Caste Code
Chhetri (Khas),Khas,CHT
Bahun (Hill),Khas,BMN
Magar,Janajati,JNJT
Tharu,Adivasi,JNJT
Tamang,Adivasi,AVS
Newar,Adivasi,AVS
Kami,Khas Silpi (Dalit),DLT
Musalman/Nepali Muslims,Muslim,MSLM
Yadav,Madhesi (Middle),MDS
Rai,Adivasi,AVS
Gurung,Adivasi,AVS
Damai/Dholi,Khas Silpi (Dalit),DLT
Thakuri,Royal Ethnic Group,REG
Limbu,Adivasi,AVS
Sarki,Khas Silpi (Dalit),DLT
Teli,Madhesi (Middle),MDS
Chamar/Harijan/Ram,Madhesi (Dalit),MDS
Kushwaha,Madhesi (Middle),MDS
Musahar,Madhesi (Dalit),DLT
Kurmi,Madhesi (Middle),MDS
Sanyasi/Dasnami,Hill Arya,BMN
Dhanuk,Madhesi,MDS
Kanu/Haluwai,Madhesi (Middle),MDS
Dusadh/Pasawan/Pasi,Madhesi (Dalit),MDS
Mallaha,Madhesi (Low),MDS
Kewat,Madhesi (Middle),MDS
Kathbaniya,Madhesi (Middle),MDS
Brahmin-Terai,Maithil Brahmin (High),BMN
"(Maithil, Kanyakubja, Sharma)",,MDS
Kalwar,Madhesi (Middle),MDS
Kumal,Adivasi,AVS
Bhujel,Adivasi,AVS
Hajam/Thakur,Madhesi (Low),MDS
Rajbanshi,Adivasi,AVS
Sherpa,Tibetans,TBT
Dhobi,Madhesi (Dalit),MDS
Tatma/Tatwa,Madhesi (Dalit),MDS
Lohar,Madhesi (Middle),MDS
Khatwe,Madhesi (Dalit),MDS
Sudhi,Madhesi (Middle),MDS
Danuwar,Adivasi,AVS
Majhi,Adivasi,AVS
Barai,Madhesi (Middle),MDS
Bin,Madhesi (Low),MDS
Nuniya,Madhesi (Middle),MDS
Chepang,Adivasi,AVS
Sonar,Madhesi (Middle),MDS
Kumhar,Madhesi (Low),MDS
Sunuwar,Adivasi,AVS
Bantar/Sardar,Madhesi (Dalit),MDS
Kahar,Madhesi (Low),MDS
Santhal,Adivasi,AVS
Marwadi,Others,OTR
Kayastha,Madhesi (High),MDS
Rajput/Terai Kshetriya,Madhesi (High),MDS
Badi,Khas (Dalit),DLT
Jhangar/Uraon,Adivasi,AVS
Gangai (Ganesh & Mandal),Adivasi,AVS
Lodh,Madhesi (High),MDS
Badhaee,Madhesi (High),MDS
Thami,Adivasi,AVS
Kulung,Adivasi,AVS
Bengali,Others,OTR
Gaderi/Bhediyar/Gangajali,Madhesi (High),MDS
Dhimal,Adivasi,AVS
Yakkha,Adivasi,AVS
Ghale,Adivasi,AVS
Tajpuriya,Adivasi,AVS
Khawas,Adivasi,AVS
Darai,Adivasi,AVS
Mali,Madhesi (Low),MDS
Dhuniya,Madhesi (Low),MDS
Pahari,Adivasi,AVS
Rajdhob,Madhesi (Low),MDS
Bhote,Tibetans,TBT
Dom,Madhesi (Dalit),MDS
Thakali,Adivasi,AVS
Kori,Madhesi (Dalit),MDS
Chhantyal,Adivasi,AVS
Hyolmo,Adivasi,AVS
Bote,Adivasi,AVS
Rajbhar,Madhesi (Low),MDS
Brahmu/Baramo,Adivasi,AVS
Punjabi,Others,OTR
Nachhring,Adivasi,AVS
Yamphu,Adivasi,AVS
Gaine,Khas (Dalit),DLT
Chamling,Adivasi,AVS
Athpahariya,Adivasi,AVS
Jirel,Adivasi,AVS
Dura,Adivasi,AVS
Sarabaria,Madhesi (Dalit),MDS
Meche,Adivasi,AVS
Bantawa,Adivasi,AVS
Raji,Adivasi,AVS
Dolpo,Adivasi,AVS
Halkhor,Madhesi (Dalit),MDS
Byansi/Sauka,Adivasi,AVS
Amat,Madhesi (Middle),MDS
Thulung,Adivasi,MDS
Lepcha,Adivasi,AVS
Pathakatta/Kushwadia8,Adivasi,AVS
Mewahang,Adivasi,AVS
Bahing,Adivasi,AVS
Natuwa,Madhesi (Dalit),MDS
Hayu,Adivasi,AVS
Dhankar/Dharikar,Madhesi (Dalit),MDS
Lhopa,Adivasi,AVS
Munda,Adivasi,AVS
Dev,Madhesi (High),MDS
Dhandi,Madhesi (Dalit),MDS
Kamar,Madhesi (Low),MDS
Kisan,Adivasi,AVS
Sampang,Adivasi,AVS
Koche,Adivasi,AVS
Lhomi,Adivasi,AVS
Khaling,Adivasi,AVS
Topkegola,Adivasi,AVS
Chidimar,Adivasi,AVS
Walung,Adivasi,AVS
Lohorung,Adivasi,AVS
Kalar,Madhesi (Low),MDS
Raute,Aboriginee Khas/Adivasi,AVS
Nurang,Madhesi (Low),MDS
Kusunda,Aboriginee Khas/Adivasi,AVS