Districts,Longitude,Latitude,Number
Achham,81.2714,29.0392,6
Arghakhanchi,83.0369,27.9861,10
Baglung,83.594,28.2716,17
Baitadi,80.5898,29.505,19
Bajhang,81.2538,29.7417,9
Bajura,81.5898,29.5023,6
Banke,81.6889,28.1473,35
Bara,85.0538,27.1446,36
Bardiya,81.4027,28.3532,59
Bhaktapur,85.4296,27.671,57
Bhojpur,87.05,27.175,32
Chitwan,84.467,27.5833,32
Dadeldhura,80.6,29.3,7
Dailekh,81.6986,28.8457,20
Dang,82.2962,27.9891,96
Darchula,80.765,29.8814,12
Dhading,84.897,27.9709,16
Dhankuta,87.348,26.98,11
Dhanusa,86.0332,26.7816,53
Dholkha,86.185,27.6215,16
Dolpa,83.1667,28.9833,6
Doti,80.817,29.1612,9
Gorkha,84.2088,28.6123,26
Gulmi,83.29,28.17,30
Humla,81,30,8
Ilam,87.9234,26.9118,15
Jajarkot,82.1528,28.7025,6
Jhapa,87.9133,26.6297,78
Jumla,82.1764,29.2742,8
Kailali,80.9027,28.8262,73
Kalikot,81.5072,29.2044,5
Kanchanpur,80.32,28.84,52
Kapilvastu,82.7758,27.9307,56
Kaski,83.9854,28.2038,39
Kathmandu,85.322,27.7033,129
Kavrepalanchok,85.6524,27.5705,32
Khotang,86.8007,27.2112,25
Lalitpur,85.324,27.6792,71
Lamjung,84.4693,28.2769,16
Mahottari,85.54,26.8928,19
Makwanpur,85.0985,27.3617,41
Manang,84,28.6667,1
Morang,87.448,26.6493,73
Mugu,82.3333,29.3333,6
Mustang,83.8427,28.9977,8
Myagdi,83.4297,28.4966,24
Nawalparasi,83.547,27.8259,65
Nuwakot,84.1848,27.9894,23
Okhaldhunga,86.3699,27.353,24
Palpa,83.4497,27.672,37
Panchthar,87.8167,27.2167,16
Parbat,83.6913,28.2071,9
Parsa,84.8761,27.0907,41
Pyuthan,82.897,28.1033,6
Ramechhap,86.0872,27.3263,20
Rasuwa,85.4001,28.1485,3
Rautahat,85.3,27.05,45
Rolpa,82.6487,28.3777,6
Rukum,82.4888,28.7577,20
Rupandehi,83.4167,27.6251,100
Salyan,82.1478,28.3512,28
Sankhuwasabha,87.6518,27.2046,12
Saptari,86.75,26.5928,79
Sarlahi,85.5498,26.9629,28
Sindhuli,85.9673,27.237,7
Sindhupalchok,85.7515,27.9642,40
Siraha,86.1999,26.7,92
Solukhumbu,86.7348,27.6873,10
Sunsari,87.2071,26.62,74
Surkhet,81.6248,28.5904,13
Syangja,83.8765,28.1167,19
Tanahun,84.25,27.9667,35
Taplejung,87.681,27.353,20
Terhathum,87.6104,27.1573,29
Udayapur,86.6412,26.8912,73